position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed,close_transaction_cost,close_value,pnl
long,896051.3450865151,okx,bitcoin,BTC/USDT,usd,2023-04-15 01:00:00,29.515803671242036,30328.0,0.001,896.0513450865151,895155.2937414285,2023-04-15 09:00:00,30380.4,True,896.7019218538017,895805.2199319478,649.9261905192398
short,895155.2937414285,okx,bitcoin,BTCUSDT,usd,2023-04-15 01:00:00,29.50046214116569,30328.6,0.0005,447.57764687071426,894707.7160945578,2023-04-15 09:00:00,30386.7,True,448.2108464724798,895973.482098487,-1265.766003929195
long,448030.3658501223,okx,ethereum,ETH/USDT,usd,2023-04-15 01:00:00,214.10607924738082,2090.47,0.001,448.0303658501223,447582.33548427216,2023-04-15 09:00:00,2088.89,True,447.2440478790613,446796.80383118225,-785.5316530899145
short,447582.33548427216,okx,ethereum,ETHUSDT,usd,2023-04-15 01:00:00,213.92534600707253,2091.19,0.0005,223.79116774213608,447358.54431653005,2023-04-15 09:00:00,2088.69,True,223.41186547575617,446600.3190860366,758.2252304934664
long,298543.24740142014,okx,bitcoin,BTC/USDT,coin,2023-04-16 17:00:00,9.867843135863296,30223.9,0.001,298.54324740142016,298244.7041540187,2023-04-18 01:00:00,29463.8,True,290.74415658644904,290453.41242986254,-7791.291724156181
short,298244.7041540187,okx,bitcoin,BTCUSDCM,coin,2023-04-16 17:00:00,9.855865560230175,30245.5,0.0005,149.12235207700937,298095.58180194173,2023-04-18 01:00:00,29474.6,True,145.24884752078015,290352.4461940395,7743.135607902252
long,895629.7422042602,okx,bitcoin,BTC/USDT,usd,2023-04-16 17:00:00,29.603529407589885,30223.9,0.001,895.6297422042602,894734.112462056,2023-04-18 17:00:00,30380.0,True,899.3552234025807,898455.8681791781,3721.7557171221124
short,894734.112462056,okx,bitcoin,BTCUSDT,usd,2023-04-16 17:00:00,29.577375780318665,30235.5,0.0005,447.367056231028,894286.745405825,2023-04-18 17:00:00,30382.1,True,449.31139434760985,898173.4773008721,-3886.7318950471235
long,597086.4948028402,okx,ethereum,ETH/USDT,usd,2023-04-16 17:00:00,285.8201042234263,2086.94,0.001,597.0864948028402,596489.4083080373,2023-04-17 01:00:00,2114.94,True,604.4923712262932,603887.878855067,7398.470547029632
short,596489.4083080373,okx,ethereum,ETHUSDT,usd,2023-04-16 17:00:00,285.6443448116039,2087.18,0.0005,298.2447041540187,596191.1636038834,2023-04-17 01:00:00,2115.24,True,302.1031719596485,603904.2407473373,-7713.077143453993
long,149268.69956244534,okx,ethereum,ETH/USDT,coin,2023-04-17 09:00:00,71.11321353735362,2096.93,0.001,149.26869956244533,149119.4308628829,2023-04-18 01:00:00,2078.24,True,147.79032490186975,147642.53457696788,-1476.8962859150197
short,149119.4308628829,okx,ethereum,ETHUSDCM,coin,2023-04-17 09:00:00,71.0580026543146,2097.51,0.0005,74.55971543144145,149044.87114745146,2023-04-18 01:00:00,2079.05,True,73.8665702092264,147659.27384824355,1385.5972992079041
long,447782.7055812186,okx,ethereum,ETH/USDT,usd,2023-04-17 09:00:00,213.32849588476364,2096.93,0.001,447.7827055812186,447334.92287563736,2023-04-18 17:00:00,2117.77,True,451.7806887298759,451328.908041146,3993.9851655086386
short,447334.92287563736,okx,ethereum,ETHUSDT,usd,2023-04-17 09:00:00,213.18319915234255,2097.31,0.0005,223.66746143781867,447111.25541419955,2023-04-18 17:00:00,2118.07,True,225.76846931430114,451311.1701592879,-4199.914745088376
